subject_id,trials_used,alpha,lambda,beta_mb,beta_mf,beta2,stickiness,beta1_stage1,w_hybrid
sub141,183,0.16471412,0.7881955,1.6061911,2.0351109,2.7535793,0.69723898,3.6413019999999996,0.44110351187569724
sub142,191,0.54965058,0.25049417,0.78382943,0.44233962,1.7631701,1.4637538,1.22616905,0.6392507052759161
sub143,190,0.37931177,0.4609731,10.484857,2.4959926,5.9460021,1.9156798,12.980849599999999,0.8077173161300629
sub144,188,0.34401073,0.96874753,1.6707996,2.8355585,3.9489632,1.5058216,4.5063581,0.37076494209370536
sub145,191,0.56754969,0.26562206,2.9219134,2.9327497,3.7366222,2.0582588,5.8546631,0.4990745581927678
sub146,177,0.087363532,0.04352168,2.815821,2.387681,1.5960181,0.13251746,5.203502,0.5411396017528195
sub147,191,0.53898031,0.17620685,2.7076704,2.1676806,1.6603481,0.75449524,4.875351,0.5553795819008723
sub148,191,0.21875998,0.62383196,2.4961938,2.9462303,5.4699167,1.8946509,5.4424241,0.4586547748088944
sub149,191,0.4145427,0.41520582,4.4125952,2.3848539,3.5667724,0.77201026,6.7974491,0.6491545777076875
sub15,190,0.58429282,0.030255492,2.2849045,0.54124862,0.6487378,0.43873531,2.82615312,0.808485741211361
sub150,191,0.30721358,0.92517002,4.1053208,1.9278504,5.4872695,0.90370514,6.0331712,0.680458197506479
sub151,191,0.43265303,0.17312685,1.8114182,1.3666537,2.466409,3.6711038,3.1780719,0.5699739518165087
sub16,191,0.51564913,0.043146164,2.3456756,1.149779,6.1259212,3.3544858,3.4954546,0.6710645304905405
sub17,187,0.92326798,0.025693035,0.9911434,2.5060825,0.72667644,0.7783419,3.4972259,0.2834084581153308
sub18,171,0.53825213,0.10524632,0.98330077,0.58939923,2.2286532,0.54720649,1.5727000000000002,0.6252309849303744
sub19,191,0.768659,0.021600376,2.9377827,1.5919313,1.9380421,1.0317365,4.529714,0.6485580988115365
sub2,191,0.62947193,0.23039432,1.1381141,1.9857288,2.567421,0.42677415,3.1238428999999996,0.3643314137212214
sub20,171,0.0018572307,0.37428563,1.9652637,1.9609765,1.9664156,0.1522744,3.9262401999999996,0.500545967615532
sub21,191,0.40204807,0.19009297,3.2939506,2.899824,4.3798636,0.23826554,6.1937746,0.5318163499201278
sub22,191,0.62566402,0.74033046,5.8163672,0.7319836,2.7923414,0.89297849,6.5483508,0.8882186336138254
sub23,191,0.49904848,0.0156849,3.1770868,2.0745052,2.7559172,2.2443928,5.2515920000000005,0.6049759387248667
sub24,189,0.56600019,0.13845787,1.0011227,1.6845013,1.7392946,0.34672648,2.685624,0.37277098357774585
sub25,182,0.26669732,0.090342181,0.94888372,2.0452434,1.2109791,0.16549392,2.99412712,0.316914974538556
sub26,186,0.40431332,0.011459124,0.8356316,2.6932512,0.91787807,0.11089819,3.5288828000000003,0.23679777633873247
sub27,191,0.52858598,0.23655645,3.3772379,3.5042553,6.0519716,2.1164544,6.8814931999999995,0.4907710872983207
